Tipo Tramite (casos con fallos 2025.sav) (grupo) 1-value,Tipo Tramite (casos con fallos 2025.sav) (grupo) 1-alias,REC(casos con fallos 2025.sav)-alias
%all%,Todo,2358
ADMITE MEDIDA CAUTELAR,ADMITE MEDIDA CAUTELAR,3
NULIDAD,NULIDAD,3
RECHAZA MEDIDA CAUTELAR,RECHAZA MEDIDA CAUTELAR,4
PROCEDIMIENTO,PROCEDIMIENTO,17
EXCUSACIÓN - RECUSACIÓN,EXCUSACIÓN - RECUSACIÓN,36
DECLARA COMPETENCIA,DECLARA COMPETENCIA,61
SUSPENSIÓN DEL TRÁMITE,SUSPENSIÓN DEL TRÁMITE,72
REPOSICIÓN/ACLARATORIA ,REPOSICIÓN/ACLARATORIA ,454
REGULA HONORARIOS,REGULA HONORARIOS,1708
