TIPOS DE CASO-value,TIPOS DE CASO-alias,PRESENTANTE (casos con fallos 2025.sav) (grupo)-value,PRESENTANTE (casos con fallos 2025.sav) (grupo)-alias,REC(casos con fallos 2025.sav)-alias
%all%,Todo,%all%,Todo,24545
RECURSO ORDINARIO,RECURSO ORDINARIO,%all%,Todo,23
REC. DE SALTO DE INSTANCIA,REC. DE SALTO DE INSTANCIA,%all%,Todo,36
QUEJA REC. ORD. DENEGADO,QUEJA REC. ORD. DENEGADO,%all%,Todo,46
REC. EXTRAORDINARIO,REC. EXTRAORDINARIO,%all%,Todo,4067
QUEJA REC. EXTRAORD. DENEGADO,QUEJA REC. EXTRAORD. DENEGADO,%all%,Todo,20373
%all%,Todo,S/D,S/D,1625
RECURSO ORDINARIO,RECURSO ORDINARIO,S/D,S/D,16
REC. DE SALTO DE INSTANCIA,REC. DE SALTO DE INSTANCIA,S/D,S/D,5
QUEJA REC. ORD. DENEGADO,QUEJA REC. ORD. DENEGADO,S/D,S/D,1
REC. EXTRAORDINARIO,REC. EXTRAORDINARIO,S/D,S/D,929
QUEJA REC. EXTRAORD. DENEGADO,QUEJA REC. EXTRAORD. DENEGADO,S/D,S/D,674
%all%,Todo,OTRAS ORG. DE LA SOC. CIVIL,OTRAS ORG. DE LA SOC. CIVIL,163
REC. DE SALTO DE INSTANCIA,REC. DE SALTO DE INSTANCIA,OTRAS ORG. DE LA SOC. CIVIL,OTRAS ORG. DE LA SOC. CIVIL,2
REC. EXTRAORDINARIO,REC. EXTRAORDINARIO,OTRAS ORG. DE LA SOC. CIVIL,OTRAS ORG. DE LA SOC. CIVIL,10
QUEJA REC. EXTRAORD. DENEGADO,QUEJA REC. EXTRAORD. DENEGADO,OTRAS ORG. DE LA SOC. CIVIL,OTRAS ORG. DE LA SOC. CIVIL,151
%all%,Todo,EMPRESAS,EMPRESAS,2459
REC. DE SALTO DE INSTANCIA,REC. DE SALTO DE INSTANCIA,EMPRESAS,EMPRESAS,5
QUEJA REC. ORD. DENEGADO,QUEJA REC. ORD. DENEGADO,EMPRESAS,EMPRESAS,9
REC. EXTRAORDINARIO,REC. EXTRAORDINARIO,EMPRESAS,EMPRESAS,54
QUEJA REC. EXTRAORD. DENEGADO,QUEJA REC. EXTRAORD. DENEGADO,EMPRESAS,EMPRESAS,2391
%all%,Todo,PERSONAS FÍSICAS,PERSONAS FÍSICAS,4827
RECURSO ORDINARIO,RECURSO ORDINARIO,PERSONAS FÍSICAS,PERSONAS FÍSICAS,7
REC. DE SALTO DE INSTANCIA,REC. DE SALTO DE INSTANCIA,PERSONAS FÍSICAS,PERSONAS FÍSICAS,22
QUEJA REC. ORD. DENEGADO,QUEJA REC. ORD. DENEGADO,PERSONAS FÍSICAS,PERSONAS FÍSICAS,31
REC. EXTRAORDINARIO,REC. EXTRAORDINARIO,PERSONAS FÍSICAS,PERSONAS FÍSICAS,282
QUEJA REC. EXTRAORD. DENEGADO,QUEJA REC. EXTRAORD. DENEGADO,PERSONAS FÍSICAS,PERSONAS FÍSICAS,4485
%all%,Todo,ORGANISMOS DEL ESTADO,ORGANISMOS DEL ESTADO,15471
REC. DE SALTO DE INSTANCIA,REC. DE SALTO DE INSTANCIA,ORGANISMOS DEL ESTADO,ORGANISMOS DEL ESTADO,2
QUEJA REC. ORD. DENEGADO,QUEJA REC. ORD. DENEGADO,ORGANISMOS DEL ESTADO,ORGANISMOS DEL ESTADO,5
REC. EXTRAORDINARIO,REC. EXTRAORDINARIO,ORGANISMOS DEL ESTADO,ORGANISMOS DEL ESTADO,2792
QUEJA REC. EXTRAORD. DENEGADO,QUEJA REC. EXTRAORD. DENEGADO,ORGANISMOS DEL ESTADO,ORGANISMOS DEL ESTADO,12672
