SUMA(Cantidad Sentencias)-value,SUMA(Cantidad Sentencias)-alias,SEMANA(Fecha)-value,SEMANA(Fecha)-alias
211,211,6,Semana 6
141,141,7,Semana 7
265,265,8,Semana 8
185,185,9,Semana 9
151,151,10,Semana 10
119,119,11,Semana 11
280,280,12,Semana 12
251,251,13,Semana 13
261,261,14,Semana 14
213,213,15,Semana 15
282,282,16,Semana 16
179,179,17,Semana 17
238,238,18,Semana 18
249,249,19,Semana 19
301,301,20,Semana 20
251,251,21,Semana 21
398,398,22,Semana 22
274,274,23,Semana 23
415,415,24,Semana 24
399,399,25,Semana 25
345,345,26,Semana 26
199,199,27,Semana 27
369,369,28,Semana 28
414,414,29,Semana 29
329,329,32,Semana 32
326,326,33,Semana 33
316,316,34,Semana 34
270,270,35,Semana 35
346,346,36,Semana 36
632,632,38,Semana 38
505,505,39,Semana 39
494,494,40,Semana 40
528,528,41,Semana 41
675,675,42,Semana 42
609,609,43,Semana 43
407,407,44,Semana 44
634,634,45,Semana 45
475,475,46,Semana 46
489,489,47,Semana 47
511,511,48,Semana 48
404,404,49,Semana 49
382,382,50,Semana 50
400,400,51,Semana 51
539,539,52,Semana 52
