TIPOS DE CASO-value,TIPOS DE CASO-alias,REC(casos con fallos 2025.sav)-alias,DESC MATERIA SEC OK (casos con fallos 2025.sav)-value,DESC MATERIA SEC OK (casos con fallos 2025.sav)-alias,REC(casos con fallos 2025.sav)-[federated.0lt5vai1v3ahqd1boe0j51i0mv1n].[pcto:cnt:casos con fallos 2025.sav_8EB8055E304D4E84A07D64CEFADB97EA:qk:2]-alias
%all%,Todo,254,%all%,%all%,1
PRESENTAC. VARIAS,PRESENTAC. VARIAS,5,%all%,%all%,1
QUEJA POR RETARDO DE JUSTICIA,QUEJA POR RETARDO DE JUSTICIA,31,%all%,%all%,1
DEMANDAS ORIGINARIAS,DEMANDAS ORIGINARIAS,41,%all%,%all%,1
CUESTIONES DE COMPETENCIA,CUESTIONES DE COMPETENCIA,177,%all%,%all%,1
%all%,Todo,3,Tributario - Bancario,Tributario - Bancario,0.011811023622047244
QUEJA POR RETARDO DE JUSTICIA,QUEJA POR RETARDO DE JUSTICIA,1,Tributario - Bancario,Tributario - Bancario,0.03225806451612903
CUESTIONES DE COMPETENCIA,CUESTIONES DE COMPETENCIA,2,Tributario - Bancario,Tributario - Bancario,0.011299435028248588
%all%,Todo,3,Salud,Salud,0.011811023622047244
CUESTIONES DE COMPETENCIA,CUESTIONES DE COMPETENCIA,3,Salud,Salud,0.01694915254237288
%all%,Todo,4,Laboral,Laboral,0.015748031496062992
QUEJA POR RETARDO DE JUSTICIA,QUEJA POR RETARDO DE JUSTICIA,4,Laboral,Laboral,0.12903225806451613
%all%,Todo,6,Civil - Comercial,Civil - Comercial,0.023622047244094488
QUEJA POR RETARDO DE JUSTICIA,QUEJA POR RETARDO DE JUSTICIA,5,Civil - Comercial,Civil - Comercial,0.16129032258064516
CUESTIONES DE COMPETENCIA,CUESTIONES DE COMPETENCIA,1,Civil - Comercial,Civil - Comercial,0.005649717514124294
%all%,Todo,6,Previsional,Previsional,0.023622047244094488
QUEJA POR RETARDO DE JUSTICIA,QUEJA POR RETARDO DE JUSTICIA,6,Previsional,Previsional,0.1935483870967742
%all%,Todo,9,Ambiental,Ambiental,0.03543307086614173
QUEJA POR RETARDO DE JUSTICIA,QUEJA POR RETARDO DE JUSTICIA,2,Ambiental,Ambiental,0.06451612903225806
DEMANDAS ORIGINARIAS,DEMANDAS ORIGINARIAS,4,Ambiental,Ambiental,0.0975609756097561
CUESTIONES DE COMPETENCIA,CUESTIONES DE COMPETENCIA,3,Ambiental,Ambiental,0.01694915254237288
%all%,Todo,10,Administrativo,Administ.,0.03937007874015748
PRESENTAC. VARIAS,PRESENTAC. VARIAS,2,Administrativo,Administ.,0.4
QUEJA POR RETARDO DE JUSTICIA,QUEJA POR RETARDO DE JUSTICIA,8,Administrativo,Administ.,0.25806451612903225
%all%,Todo,44,Consumo,Consumo,0.1732283464566929
PRESENTAC. VARIAS,PRESENTAC. VARIAS,1,Consumo,Consumo,0.2
CUESTIONES DE COMPETENCIA,CUESTIONES DE COMPETENCIA,43,Consumo,Consumo,0.24293785310734464
%all%,Todo,45,Originarios,Originarios,0.17716535433070865
DEMANDAS ORIGINARIAS,DEMANDAS ORIGINARIAS,37,Originarios,Originarios,0.902439024390244
CUESTIONES DE COMPETENCIA,CUESTIONES DE COMPETENCIA,8,Originarios,Originarios,0.04519774011299435
%all%,Todo,124,Penal,Penal,0.4881889763779528
PRESENTAC. VARIAS,PRESENTAC. VARIAS,2,Penal,Penal,0.4
QUEJA POR RETARDO DE JUSTICIA,QUEJA POR RETARDO DE JUSTICIA,5,Penal,Penal,0.16129032258064516
CUESTIONES DE COMPETENCIA,CUESTIONES DE COMPETENCIA,117,Penal,Penal,0.6610169491525424
