Tipodenorma (grupo)-value,Tipodenorma (grupo)-alias,REC(casos con fallos 2025.sav)-alias,Jurisdiccionnorma-value,Jurisdiccionnorma-alias
%all%,Todo,41,%all%,%all%
%all%,Todo,1,CORRIENTES,CORRIENTES
%all%,Todo,1,ENTRE RIOS,ENTRE RIOS
%all%,Todo,1,SAN JUAN,SAN JUAN
%all%,Todo,1,SANTA CRUZ,SANTA CRUZ
%all%,Todo,2,BUENOS AIRES,BUENOS AIRES
%all%,Todo,2,CIUDAD AUTONOMA DE BUENOS AIRES,CIUDAD AUTONOMA DE BUENOS AIRES
%all%,Todo,2,LA PAMPA,LA PAMPA
%all%,Todo,2,LA RIOJA,LA RIOJA
%all%,Todo,4,%null%,NACIONAL
%all%,Todo,4,SALTA,SALTA
%all%,Todo,4,SANTA FE,SANTA FE
%all%,Todo,5,RIO NEGRO,RIO NEGRO
%all%,Todo,12,CORDOBA,CORDOBA
DNU,DNU,4,%all%,%all%
DNU,DNU,4,%null%,NACIONAL
RESOLUCION,RESOLUCION,3,%all%,%all%
RESOLUCION,RESOLUCION,3,CORDOBA,CORDOBA
NOTA,NOTA,1,%all%,%all%
NOTA,NOTA,1,SANTA CRUZ,SANTA CRUZ
DECRETO PROVINCIAL/DECRETO-LEY,DECRETO PROVINCIAL/DECRETO-LEY,3,%all%,%all%
DECRETO PROVINCIAL/DECRETO-LEY,DECRETO PROVINCIAL/DECRETO-LEY,1,SALTA,SALTA
DECRETO PROVINCIAL/DECRETO-LEY,DECRETO PROVINCIAL/DECRETO-LEY,2,SANTA FE,SANTA FE
LEY PROVINCIAL,LEY PROVINCIAL,30,%all%,%all%
LEY PROVINCIAL,LEY PROVINCIAL,1,CORRIENTES,CORRIENTES
LEY PROVINCIAL,LEY PROVINCIAL,1,ENTRE RIOS,ENTRE RIOS
LEY PROVINCIAL,LEY PROVINCIAL,1,SAN JUAN,SAN JUAN
LEY PROVINCIAL,LEY PROVINCIAL,2,BUENOS AIRES,BUENOS AIRES
LEY PROVINCIAL,LEY PROVINCIAL,2,CIUDAD AUTONOMA DE BUENOS AIRES,CIUDAD AUTONOMA DE BUENOS AIRES
LEY PROVINCIAL,LEY PROVINCIAL,2,LA PAMPA,LA PAMPA
LEY PROVINCIAL,LEY PROVINCIAL,2,LA RIOJA,LA RIOJA
LEY PROVINCIAL,LEY PROVINCIAL,3,SALTA,SALTA
LEY PROVINCIAL,LEY PROVINCIAL,2,SANTA FE,SANTA FE
LEY PROVINCIAL,LEY PROVINCIAL,5,RIO NEGRO,RIO NEGRO
LEY PROVINCIAL,LEY PROVINCIAL,9,CORDOBA,CORDOBA
