REC(casos con fallos 2025.sav)-alias,DESC SECRETARIA (casos con fallos 2025.sav)-value,DESC SECRETARIA (casos con fallos 2025.sav)-alias,REC(casos con fallos 2025.sav)-value,REC(casos con fallos 2025.sav)-[federated.0lt5vai1v3ahqd1boe0j51i0mv1n].[__tableau_internal_object_id__].[pcto:cnt:casos con fallos 2025.sav_8EB8055E304D4E84A07D64CEFADB97EA:qk]-alias
87,Sec. de Juicios Ambientales,Sec. de J. Ambientales,0.0032800482581812696,0.0032800482581812696
87,Sec. Juicios Originarios,Sec. Juicios Originarios,0.0032800482581812696,0.0032800482581812696
887,Sec. Judicial Nº 7,"Sec. J. Nº 7 - Tributario, Aduanero y Bancario",0.03344141155180214,0.03344141155180214
1042,Secretaría de Relaciones de Consumo,Sec. de Relaciones de Consumo,0.039285175689941186,0.039285175689941186
1183,Sec. Judicial Nº 1,Sec. J. Nº 1 - Civil y Comercial,0.04460111597044186,0.04460111597044186
1241,Sec. Judicial Nº 4,Sec. J. Nº 4 - Contencioso y Administrativo,0.046787814809229375,0.046787814809229375
1507,Sec. Penal Especial,Sec. Penal Especial,0.05681646810435831,0.05681646810435831
3011,Sec. Judicial Nº 6,Sec. J. Nº 6 - Laboral,0.11351983109636556,0.11351983109636556
3141,Sec. Judicial Nº 3,Sec. J. Nº 3 - Penal,0.11842105263157894,0.11842105263157894
14338,Sec. Judicial Nº 2,Sec. J. Nº 2 - Previsional,0.5405670336299201,0.5405670336299201
