PRESENTANTE (casos con fallos 2025.sav) (grupo) 1-alias,REC(casos con fallos 2025.sav)-alias,REC(casos con fallos 2025.sav)-[federated.0lt5vai1v3ahqd1boe0j51i0mv1n].[pcto:cnt:casos con fallos 2025.sav_8EB8055E304D4E84A07D64CEFADB97EA:qk:16]-alias
UNIDAD DE INFORMACION FINANCIERA,3,0.0001939111886755866
SUPERINTENDENCIA DE SERVICIOS DE SALUD ,3,0.0001939111886755866
SUPERINTENDENCIA DE SEGUROS DE LA NACION ,44,0.0028440307672419366
PROVINCIAS,190,0.012281041949453817
PAMI,47,0.0030379419559175233
OTRAS ÁREAS DEL ESTADO NACIONAL,143,0.009243099993536294
MUNICIPIOS,16,0.001034193006269795
MPF,275,0.0177751922952621
MPD,25,0.001615926572296555
MINISTERIO DEL INTERIOR ,22,0.0014220153836209683
MINISTERIO DE SEGURIDAD ,213,0.013767694395966649
MINISTERIO DE JUSTICIA Y DERECHOS HUMANOS,143,0.009243099993536294
MINISTERIO DE ECONOMÍA,62,0.004007497899295456
MINISTERIO DE DEFENSA,73,0.00471850559110594
MINISTERIO DE CAPITAL HUMANO,20,0.0012927412578372438
MIGRACIONES,33,0.0021330230754314523
LOTERIA DE LA CIUDAD DE BUENOS AIRES,2,0.0001292741257837244
INSPECCION GENERAL DE JUSTICIA,9,0.0005817335660267597
GENDARMERIA NACIONAL ARGENTINA ,27,0.0017452006980802793
ENTE NACIONAL REGULADOR DE LA ELECTRICIDAD ,19,0.0012281041949453817
ENTE NACIONAL DE COMUNICACIONES,1,6.46370628918622e-05
ENA,4,0.0002585482515674488
DEFENSOR DEL PUEBLO DE LA NACIÓN,1,6.46370628918622e-05
CNRT,7,0.0004524594402430354
BCRA ,4,0.0002585482515674488
ANSES,13476,0.8710490595307351
AFIP/ARCA,609,0.03936397130114407
